gid,arealand,intptlat,name,objectid,areawater,intptlon,centlon,stusab,state,centlat,basename,mtfcc,geoid,All State,All Stat_1,All Stat_2,All Stat_3,All Stat_4,All Stat_5,All Stat_6,All Stat_7
"43","1367194945",35.5397100000,North Carolina,"9","585215759",-79.1308636000,-79.1299556000,NC,"37",35.5401695000,North Carolina,G4000,"37","328","397","384","402","159","393","577","563"
"44","-1896337421",44.0604795000,Vermont,"10","1031126051",-72.6733274000,-72.6660410000,VT,"50",44.0693874000,Vermont,G4000,"50","35","38","43","44","13","24","42","65"
"49","1870899812",40.1072744000,New Jersey,"15","-753053640",-74.6652012000,-74.6580421000,NJ,"34",40.1050485000,New Jersey,G4000,"34","1623","1690","1721","1697","461","1165","1542","1546"
"41","-698155119",44.3484222000,Idaho,"7","-1903599535",-114.5588538000,-114.6136821000,ID,"16",44.3524058000,Idaho,G4000,"16","9","10","7","12","7","28","31","36"
"52","1390732324",41.5433014000,Nebraska,"18","1369769201",-99.8118616000,-99.7949708000,NE,"31",41.5381096000,Nebraska,G4000,"31","13","20","15","17","15","35","26","37"
"2","-1862814329",39.3349925000,Utah,"24","-1590438778",-111.6563326000,-111.6703458000,UT,"49",39.3063102000,Utah,G4000,"49","55","71","69","85","37","113","177","175"
"32","1270849233",32.6864714000,Mississippi,"45","-364461467",-89.6561377000,-89.6553191000,MS,"28",32.6974745000,Mississippi,G4000,"28","5","10","4","6","3","4","12","13"
"45","-342263542",41.5797777000,Connecticut,"11","1815476291",-72.7466665000,-72.7393081000,CT,"09",41.5751437000,Connecticut,G4000,"09","953","983","937","869","260","539","727","806"
"53","-82198335",40.9024957000,Pennsylvania,"19","-897854106",-77.8334514000,-77.8369374000,PA,"42",40.9011252000,Pennsylvania,G4000,"42","769","767","787","812","325","676","811","839"
"10","-545768328",19.8281671000,Hawaii,"32","-1107203494",-155.4950421000,-157.9936887000,HI,"15",21.0508739000,Hawaii,G4000,"15","31","32","32","38","12","51","61","70"
"14","1299859523",38.4985464000,Kansas,"48","1346231756",-98.3834298000,-98.3786217000,KS,"20",38.4938959000,Kansas,G4000,"20","41","41","45","62","27","61","89","71"
"46","752226110",38.9985380000,Delaware,"12","1398722170",-75.4416616000,-75.4514105000,DE,"10",38.9932575000,Delaware,G4000,"10","28","27","29","31","6","18","33","38"
"56","-1152137026",32.6295789000,Georgia,"22","444263739",-83.4235109000,-83.4164130000,GA,"13",32.6279164000,Georgia,G4000,"13","490","494","501","524","204","506","651","708"
"21","-1361459624",42.0700243000,Iowa,"55","1078023380",-93.4933473000,-93.4958531000,IA,"19",42.0753593000,Iowa,G4000,"19","23","28","29","35","6","38","32","31"
"36","1483671958",28.4574302000,Florida,"2","1322840874",-82.4091478000,-82.4244507000,FL,"12",28.4604055000,Florida,G4000,"12","360","370","407","470","188","558","731","798"
"48","-222385618",37.1551773000,California,"14","-1011556647",-119.5434183000,-119.5277460000,CA,"06",37.1547352000,California,G4000,"06","2615","2846","2807","3095","1109","2371","2947","2746"
"51","-503786026",43.9717125000,Oregon,"17","1900089675",-120.6229578000,-120.6109266000,OR,"41",43.9396009000,Oregon,G4000,"41","149","183","156","199","67","173","250","256"
"26","1793942590",42.9133974000,New York,"39","2063248491",-75.5962723000,-75.5942811000,NY,"36",42.9197932000,New York,G4000,"36","2506","2592","2518","2493","761","1688","2234","2289"
"25","-1718748249",45.4092789000,Maine,"38","-1136555256",-68.6665979000,-69.2136634000,ME,"23",45.2610943000,Maine,G4000,"23","34","24","33","36","12","47","54","60"
"13","348013711",18.3267484000,United States Virgin Islands,"35","1550244357",-64.9712505000,-64.8387617000,VI,"78",18.0593788000,United States Virgin Islands,G4000,"78",,,,,,,,
"50","-1459974156",44.6309071000,Wisconsin,"16","-703725080",-89.7093916000,-89.7097713000,WI,"55",44.6273217000,Wisconsin,G4000,"55","101","99","115","126","48","86","197","173"
